J362	 		 	S	Ritual Dance	1000	3848	11760	1900			
J48	 		 	S	Ritual Dance	1100	1415	7774	1458			
J353b	 		 	S	Ritual Dance	1200	2086	918	824			
J357a	 		 	S	Ritual Dance	1300	3857	1122	3249			
J1547b	 		 	S	Ritual Dance	1400	1590	11208	343			
J1584	 		 	S	Ritual Dance	1500	969	829				
				S	Ritual Dance	1600						
				U	Ritual Dance	1000						
J516	 		 	U	Ritual Dance	1100	1515	12765	12863			
J1090e	 		 	U	Ritual Dance	1200	1276	1438				
J1547a	 		 	U	Ritual Dance	1300	2627	11759				
J75	 		 	U	Ritual Dance	1400	8356	10576	3845			
				U	Ritual Dance	1500						
T1283a	Smooth and Crunchy Contras	A mix of elegant and rowdy contra dances.	D S	F	Trade Center West	1900	12669	1698				
T155a	Go with the Flow! Contras	Dances that flow choreographically (not necessarily without balances). 	D S	F	Trade Center West	2130	11697	11900				
T1382	Will They, Won't They Contras	Dancers come together and drift apart. Partners are lost and reunited. Contras to toy with your emotions and build anticipation. 	D S	F	Trade Center West	2230	12899	11717				
P1104d	Beautiful Waltzes	A variety of lovely waltz music for your dancing and listening pleasure.	N S	F	Ballroom CDE	2100	7848					
R109c	Intro to International Folk Dance	Learn dances from many different countries. No partner needed. Enjoy efficient, cheerful teaching, and good music.	T B	F	Marlborough	1900	1349					
T1090c	Contra for Beginners	Learn the basic figures of contra dancing, as well as tips for how to dance safely and enjoyably! No experience necessary.	D B	F	Marlborough	2000	5983	12599				
P439a	English Country Dance: A Gentle Introduction	Enjoy learning English country dance basics in context through fun, varied dances.	T B	F	Marlborough	2100	3003	11907				
M1373	A Tale or Two	A Tale or Two invites you to join our family in stories of times long gone, misadventures, and farm life. Some stories are told, some sung, and... we have Crankies!	E 	F	Sterling	1900	12890					
M1258b	Old Time Backup Guitar Basics	Get your rhythm on in this interactive session for budding old time guitarists. We'll start with the basic boom-chuck and quickly move on to iconic bass runs that get you from one chord to the next (and back). You'll walk away with your next few months of practice material. It's easy, once you know how! It is helpful to know your chords in the most often heard keys of C, G, D, and A.	T S	F	Sterling	2000	12633					
				F	Sterling	2200						
M250	Songs from All Over	A concert of songs from Eastern Europe, Scandinavia and beyond.	E 	F	Princess	2000	9796					
M1432	The Irish Tradition Influence	Jim Sharkey is a singer-songwriter who grew up in County Roscommon, Ireland. His songs blend traditional Irish influences with contemporary issues of family, society, and friendships.	E 	F	Princess	2100	12950					
				F	Princess	2200						
